image,pose_timestamp,pos_x,pos_y,ori_w,keep
frame_0358_1747779401186671774.png,1747779401.186672,7.999047009113266,9.228405317229203,-0.8704130501025016,yes
frame_0367_1747779401985137630.png,1747779401.9851377,7.915634755176163,9.251454264596912,-0.8487244295733991,yes
frame_0393_1747779403392670744.png,1747779403.3926709,8.455266423097617,8.431700535876347,-0.8989643211939728,yes
frame_0402_1747779403968837053.png,1747779403.9688373,9.100922890950413,8.24416972035873,-0.2349589778589955,yes
frame_0408_1747779404190237961.png,1747779404.190238,8.979358332332932,8.182037196833175,-0.1838497830099235,yes
frame_0412_1747779404443201439.png,1747779404.4432015,8.842479057810475,8.192445287235365,-0.135818358347626,yes
frame_0420_1747779404987242546.png,1747779404.9872427,8.207564987296578,8.071525997319497,0.0973661834918799,yes
frame_0427_1747779405351389089.png,1747779405.3513894,7.989690305343904,7.75110746734262,0.1093138886819912,yes
frame_0430_1747779405692541335.png,1747779405.6925416,7.661965166429071,7.511079282407932,0.1995023295366391,yes
frame_0440_1747779406193944789.png,1747779406.193945,7.448371972905722,7.0868000036682846,0.1355625185780287,yes
frame_0448_1747779406504253190.png,1747779406.5042534,7.521213967173665,7.00792669124494,0.0553140280298949,yes
frame_0454_1747779406793806740.png,1747779406.793807,7.379690139198704,6.926311502444123,0.0580786081697097,yes
frame_0460_1747779407228387161.png,1747779407.228387,7.469947113713947,6.878131732989995,0.0557914887740102,yes
frame_0474_1747779407872395478.png,1747779407.8723955,7.260535527084249,6.7987998040369,0.0666799519916979,yes
frame_0510_1747779409458038946.png,1747779409.458039,6.353441565040639,6.86792124546745,-0.1143209040859562,yes
frame_0518_1747779409693713200.png,1747779409.6937132,6.1287428082123325,6.75076775146383,-0.2342235765270767,yes
frame_0527_1747779410024762722.png,1747779410.0247626,5.821716732458363,6.490351117574818,-0.2940765078445817,yes
frame_0535_1747779410528063945.png,1747779410.528064,5.360658538105961,6.190139184471814,-0.3303853293914405,yes
frame_0545_1747779411099938647.png,1747779411.0999386,4.962955458385823,5.577188561343658,-0.5930345658509275,yes
frame_0557_1747779411610579362.png,1747779411.6105795,5.015878074632813,4.926298234120193,-0.7598634901352134,yes
frame_0563_1747779411846644755.png,1747779411.8466449,5.142024369598167,4.632650049492431,-0.8365725298674056,yes
frame_0568_1747779412125443605.png,1747779412.1254437,5.333594155032055,4.44952778159429,-0.8895497384935959,yes
frame_0576_1747779412421189814.png,1747779412.42119,5.676579322574354,4.303889355667227,-0.9481971093393496,yes
frame_0585_1747779412787279630.png,1747779412.7872796,5.927572882745145,4.107046197424911,-0.9594073571250292,yes
frame_0601_1747779413758976523.png,1747779413.7589767,6.643364010927874,3.981833925653077,-0.9894417286432512,yes
